,Resolution,Alpha,Runtime(s),Resolution_inv,Extrapolation,Error,Error %
0,5.0,-0.19098775762616513,0.0007,0.2,0.0,0.0,0.0
1,7.0,-0.16367420419280618,0.00124,0.14285714285714285,-0.09539032060940883,-0.016520661924539576,14.762324081577965
2,9.0,-0.15034357162111903,0.00304,0.1111111111111111,-0.103686357620214,-0.008224624913734407,7.34925628165176
3,11.0,-0.14246312775992978,0.00729,0.09090909090909091,-0.10700113038457816,-0.004909852149370245,4.387283569671843
4,13.0,-0.1372619910407854,0.00438,0.07692307692307693,-0.10865573908549131,-0.003255243448457096,2.9087792589700583
5,15.0,-0.13357363833712052,0.00952,0.06666666666666667,-0.10959934576329881,-0.0023116367706495916,2.065603141271995
6,17.0,-0.13082236566132036,0.01924,0.058823529411764705,-0.11018782059281912,-0.0017231619411292864,1.5397612478351372
7,19.0,-0.12869151127187045,0.02343,0.05263157894736842,-0.11057924896154628,-0.0013317335724021273,1.1899936380222051
8,21.0,-0.12699256889913538,0.04219,0.047619047619047616,-0.11085261635815219,-0.001058366175796216,0.9457214581018968
9,23.0,-0.12560634270105014,0.03964,0.043478260869565216,-0.11105096762115521,-0.0008600149127931944,0.7684812458261702
10,25.0,-0.12445378624666366,0.05467,0.04,-0.11119938702121905,-0.0007115955127293544,0.6358585159535085
11,27.0,-0.12348041646392584,0.10666,0.037037037037037035,-0.11131329417970309,-0.0005976883542453126,0.5340747983014114
12,29.0,-0.12264746293202283,0.11564,0.034482758620689655,-0.11140259025133226,-0.0005083922826161491,0.4542827442891294
13,31.0,-0.12192658584391519,0.15097,0.03225806451612903,-0.1114738680663544,-0.0004371144675940075,0.39059121606890373
14,33.0,-0.12129659001045322,0.21556,0.030303030303030304,-0.11153165459179261,-0.00037932794215579657,0.3389550637183681
15,35.0,-0.1207413072274826,0.346,0.02857142857142857,-0.11157914130846733,-0.00033184122548107764,0.29652248418104366
16,37.0,-0.12024818955225669,0.33087,0.02702702702702703,-0.11161863023580336,-0.00029235229814504604,0.26123646806189055
17,39.0,-0.11980734985318484,0.4176,0.02564102564102564,-0.11165181542035554,-0.00025916711359286193,0.23158327067161893
18,41.0,-0.11941089209253525,0.41459,0.024390243902439025,-0.11167996575986827,-0.00023101677408013388,0.2064290464164717
19,43.0,-0.11905243417136378,0.52889,0.023255813953488372,-0.11170404678734877,-0.00020693574659963465,0.18491102652669528
20,45.0,-0.11872676170315391,0.66172,0.022222222222222223,-0.11172480363664163,-0.0001861788973067796,0.16636338372804643
21,47.0,-0.11842957263955846,0.71767,0.02127659574468085,-0.11174281870866082,-0.00016816382528758722,0.15026570357969507
22,49.0,-0.11815728610255923,0.8303,0.02040816326530612,-0.11175855248307726,-0.00015243005087114958,0.13620651648278545
23,51.0,-0.11790689734861967,1.01045,0.0196078431372549,-0.1117723728771006,-0.00013860965684781013,0.12385706363159006
24,53.0,-0.1176758663800344,1.22296,0.018867924528301886,-0.11178457668110989,-0.00012640585283851813,0.11295214283385697
25,55.0,-0.11746203143613813,1.47372,0.01818181818181818,-0.11179540542288717,-0.00011557711106123525,0.10327593274965191
26,57.0,-0.11726354111399964,1.63916,0.017543859649122806,-0.1118050572551911,-0.00010592527875730173,0.09465137054369896
27,59.0,-0.11707880060050072,1.97157,0.01694915254237288,-0.11181369596578129,-9.728656816711256e-05,0.08693210082182998
28,61.0,-0.11690642870799631,2.23397,0.01639344262295082,-0.11182145787911625,-8.952465483215433e-05,0.07999630849903124
29,63.0,-0.11674522326312957,2.58425,0.015873015873015872,-0.11182845719469406,-8.25253392543468e-05,0.07374194863253263
30,65.0,-0.1165941330136179,2.91966,0.015384615384615385,-0.11183479015400034,-7.619237994806183e-05,0.06808302297314629
31,67.0,-0.11645223466457202,3.40825,0.014925373134328358,-0.11184053832058104,-7.044421336736828e-05,0.0629466489993499
32,69.0,-0.11631871398393334,3.91618,0.014492753623188406,-0.11184577118253748,-6.521135141092371e-05,0.05827073441263168
33,71.0,-0.11619285015995223,4.48605,0.014084507042253521,-0.11185054823260396,-6.0434301344447494e-05,0.054002118448128744
34,73.0,-0.11607400277591598,4.97409,0.0136986301369863,-0.11185492064262903,-5.6061891319375556e-05,0.05009507561277025
35,75.0,-0.11596160090507478,5.78552,0.013333333333333334,-0.11185893261937085,-5.204991457755104e-05,0.046510104190856875
36,77.0,-0.11585513393378448,6.46699,0.012987012987012988,-0.11186262251039832,-4.8360023550089726e-05,0.04321293804691566
37,79.0,-0.11575414380154143,7.22575,0.012658227848101266,-0.11186602371018421,-4.495882376419347e-05,0.040173736970413175
38,81.0,-0.11565821840908481,8.21083,0.012345679012345678,-0.11186916540704835,-4.1817126900059454e-05,0.03736641923179805
39,83.0,-0.11556698599446431,9.32556,0.012048192771084338,-0.111872073202334,-3.890933161440624e-05,0.034768108306620416
40,85.0,-0.11548011031519616,10.50442,0.011764705882352941,-0.11187476962556771,-3.6212908380697795e-05,0.0323586725455766
41,87.0,-0.11539728650486188,11.73796,0.011494252873563218,-0.11187727456565491,-3.370796829349487e-05,0.030120339872156423
42,89.0,-0.11531823749650694,12.98052,0.011235955056179775,-0.11187960563306706,-3.1376900881341374e-05,0.02803737414406413
43,91.0,-0.11524271092439721,14.58516,0.01098901098901099,-0.11188177846551434,-2.9204068434068864e-05,0.026095802014078247
44,93.0,-0.11517047643111243,16.91213,0.010752688172043012,-0.11188380698665501,-2.717554729339544e-05,0.024283181755777802
45,95.0,-0.11510132331943794,17.3993,0.010526315789473684,-0.1118857036265741,-2.527890737430427e-05,0.022588406251044992
46,97.0,-0.11503505849861118,18.96057,0.010309278350515464,-0.11188747950933989,-2.350302460851772e-05,0.021001535395677572
47,99.0,-0.11497150468276161,20.503,0.010101010101010102,-0.11188914461405783,-2.183791989057715e-05,0.0195136521868643
48,101.0,-0.11491049880613827,22.76111,0.009900990099009901,-0.11189070791328264,-2.027462066576946e-05,0.018116739042675384
49,103.0,-0.11485189062528238,24.66971,0.009708737864077669,-0.11189217749206007,-1.880504188833676e-05,0.016803571430205447
50,105.0,-0.11479554148291476,27.85054,0.009523809523809525,-0.11189356065098258,-1.7421882965829028e-05,0.015567625778411932
51,107.0,-0.11474132321212727,30.12545,0.009345794392523364,-0.11189486399578363,-1.6118538164772156e-05,0.014402999419545412
52,109.0,-0.11468911716263717,33.17471,0.009174311926605505,-0.11189609351491726,-1.4889019031141815e-05,0.013304341266618048
53,111.0,-0.11463881333353262,36.33429,0.009009009009009009,-0.11189725464733463,-1.3727886613773554e-05,0.012266791250455848
54,113.0,-0.11459030959916716,39.56833,0.008849557522123894,-0.11189835234188399,-1.263019206441951e-05,0.011285927241848777
55,115.0,-0.11454351101673348,43.51269,0.008695652173913044,-0.11189939110923026,-1.1591424718140897e-05,0.010357718657884731
56,117.0,-0.11449832920563369,47.30455,0.008547008547008548,-0.11190037506739577,-1.0607466552639555e-05,0.009478485768295136
57,119.0,-0.11445468179011398,51.87197,0.008403361344537815,-0.11190130798221098,-9.674551737420822e-06,0.00864486354990765
58,121.0,-0.11441249189775682,55.85399,0.008264462809917356,-0.11190219330250588,-8.789231442526968e-06,0.007853770240879387
59,123.0,-0.11437168770741636,60.2445,0.008130081300813009,-0.11190303419181868,-7.948342129721064e-06,0.007102379006734143
60,125.0,-0.11433220204099159,65.70123,0.008,-0.11190383355586835,-7.148978080059876e-06,0.006388093391898529
61,127.0,-0.11429397199416644,70.85992,0.007874015748031496,-0.11190459406759425,-6.388466354159683e-06,0.005708524945013086
62,129.0,-0.11425693860183793,77.45921,0.007751937984496124,-0.11190531818897761,-5.664344970790491e-06,0.005061473720036549
63,131.0,-0.11422104653449504,83.25089,0.007633587786259542,-0.11190600819087858,-4.974343069827358e-06,0.004444910550506857
64,133.0,-0.11418624382224653,90.8943,0.007518796992481203,-0.11190666616996908,-4.316363979323112e-06,0.0038569619188302054
65,135.0,-0.1141524816036248,97.43415,0.007407407407407408,-0.1119072940652801,-3.6884686683003043e-06,0.0032958951702362193
66,137.0,-0.11411971389658927,105.08817,0.0072992700729927005,-0.11190789367169099,-3.088862257416558e-06,0.0027601064591489454
67,139.0,-0.11408789738947793,114.176,0.007194244604316547,-0.11190846665235092,-2.51588159748406e-06,0.002248109649757442
68,141.0,-0.11405699124992405,122.48727,0.0070921985815602835,-0.11190901455092943,-1.9679830189772707e-06,0.0017585253693758601
69,143.0,-0.11402695694993646,140.57398,0.006993006993006993,-0.11190953880081146,-1.4437331369437922e-06,0.00129007279201202
70,145.0,-0.113997758105592,153.2551,0.006896551724137931,-0.11191004073496286,-9.417989855486919e-07,0.0008415608229183364
71,147.0,-0.11396936032992326,168.58132,0.006802721088435374,-0.11191052159393983,-4.609400085786586e-07,0.0004118809415678497
72,149.0,-0.11394173109776252,179.79732,0.006711409395973154,-0.1119109825339484,0.0,-0.0
